Player,Nation,Pos,Age,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls,Ast,G+A,G-PK,G+A-PK,xG,xAG,xG+xAG,npxG,npxG+xAG,Matches
Federico Valverde,uyURU,MF,25,37,33,"2,904",32.3,2,7,9,2,0,0,2,0,3.5,3.5,5.8,9.3,104,231,102,0.06,0.22,0.28,0.06,0.28,0.11,0.18,0.29,0.11,0.29,Matches
Antonio Rüdiger,deGER,DF,30,33,30,"2,709",30.1,1,0,1,1,0,0,7,0,1.5,1.5,1.2,2.6,17,88,1,0.03,0.00,0.03,0.03,0.03,0.05,0.04,0.09,0.05,0.09,Matches
Rodrygo,brBRA,FW,22,34,28,"2,380",26.4,10,5,15,10,0,1,2,0,11.7,10.9,4.0,14.9,159,90,301,0.38,0.19,0.57,0.38,0.57,0.44,0.15,0.59,0.41,0.56,Matches
Jude Bellingham,engENG,MF,20,28,27,"2,315",25.7,19,6,25,18,1,1,5,1,11.1,10.3,5.3,15.6,85,196,177,0.74,0.23,0.97,0.70,0.93,0.43,0.21,0.64,0.40,0.61,Matches
Dani Carvajal,esESP,DF,31,28,25,"2,171",24.1,4,3,7,4,0,0,5,1,1.7,1.7,2.7,4.4,30,82,168,0.17,0.12,0.29,0.17,0.29,0.07,0.11,0.18,0.07,0.18,Matches
Toni Kroos,deGER,MF,33,33,24,"2,124",23.6,1,8,9,1,0,0,3,0,1.6,1.6,4.9,6.5,32,290,29,0.04,0.34,0.38,0.04,0.38,0.07,0.21,0.28,0.07,0.28,Matches
Aurélien Tchouaméni,frFRA,"MF,DF",23,27,22,"1,987",22.1,3,1,4,3,0,0,7,0,1.3,1.3,0.9,2.1,28,111,15,0.14,0.05,0.18,0.14,0.18,0.06,0.04,0.10,0.06,0.10,Matches
Vinicius Júnior,brBRA,FW,23,26,22,"1,864",20.7,15,5,20,14,1,1,7,0,13.1,12.3,4.2,16.6,137,57,277,0.72,0.24,0.97,0.68,0.92,0.63,0.21,0.84,0.59,0.80,Matches
Andriy Lunin,uaUKR,GK,24,21,21,"1,890",21.0,0,0,0,0,0,0,2,0,0.0,0.0,0.3,0.3,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.01,0.01,0.00,0.01,Matches
Eduardo Camavinga,frFRA,"MF,DF",20,31,21,"1,817",20.2,0,2,2,0,0,0,9,0,0.9,0.9,1.4,2.3,49,106,31,0.00,0.10,0.10,0.00,0.10,0.05,0.07,0.11,0.05,0.11,Matches
Ferland Mendy,frFRA,DF,28,23,21,"1,720",19.1,0,0,0,0,0,0,5,0,0.2,0.2,0.9,1.1,19,84,96,0.00,0.00,0.00,0.00,0.00,0.01,0.05,0.06,0.01,0.06,Matches
Nacho,esESP,DF,33,29,18,"1,746",19.4,0,1,1,0,0,0,4,2,0.5,0.5,1.2,1.7,13,55,9,0.00,0.05,0.05,0.00,0.05,0.03,0.06,0.09,0.03,0.09,Matches
Luka Modrić,hrCRO,MF,37,32,18,"1,688",18.8,2,6,8,2,0,0,2,0,1.3,1.3,5.5,6.8,53,196,85,0.11,0.32,0.43,0.11,0.43,0.07,0.30,0.37,0.07,0.37,Matches
Brahim Díaz,maMAR,"FW,MF",23,31,18,"1,545",17.2,8,6,14,8,0,0,0,0,5.7,5.7,4.4,10.1,76,75,166,0.47,0.35,0.82,0.47,0.82,0.33,0.26,0.59,0.33,0.59,Matches
Joselu,esESP,FW,33,34,15,"1,687",18.7,10,2,12,10,0,2,1,0,11.6,10.0,1.7,11.7,15,20,98,0.53,0.11,0.64,0.53,0.64,0.62,0.09,0.71,0.53,0.62,Matches
